NID,Resource State,Title,Address,Address ZIP,Addr Additional,Addr City,Addr State,URL,Description,Federal and State Technology (FAST) Partnership Program Awardee,Procurement Technical Assistance Center (PTAC),SBA Regional Innovation Cluster,SBA Growth Accelerator,Small Business Development Center (SBDC),State Contact,Manufacturing Extension Partnership (MEP),POCC,B2S,MBC,POC,POC Title,POC Email,POC Phone,POC Fax
736599,Wisconsin,Wisconsin Small Business Development Center,432 N. Lake St.,53706,Room 423,Madison,Wisconsin,https://wisconsinsbdc.org/,"The Wisconsin Small Business Development Center (SBDC), hosted at the University of Wisconsin System, is a statewide network supporting entrepreneurs and business owners through no-cost, confidential consulting and business education. Our regional expertise is accessible to anyone anywhere across 13 locations.  We are a nationally accredited member of America's SBDC, the most comprehensive small business assistance network in the United States.",No,No,No,No,Yes,No,No,No,No,No,Bon Wikenheiser,State Director,sbdc@uwex.edu ,(608) 263-7812,() -
736601,Wisconsin,Center for Technology Commercialization,432 N. Lake St.,53706,Suite 423,Madison,Wisconsin,www.wisconsinctc.org,"The Center for Technology Commercialization provides one-on-one assistance to early-stage emerging technology businesses throughout Wisconsin. From agriculture to biotechnology, Center consultants are experts in commercialization processes. We have over 60 years of combined experience and have supported clients in acquiring over $195 million in federal and additional funding. Core efforts include supporting clients towards the $3.5 billion federal SBIR/STTR grants and contracts program. From getting acquainted (SBIR Ready) to matching funds via the SBIR Advance program, CTC manages a number of programs and grants to help you overcome hurdles of assessing and submitting a competitive proposal. The CTC is a program within UW Systems Institute for Business and Entrepreneurship and can help you connect to a larger network of entrepreneurial support services.
",No,No,No,No,No,Yes,No,No,No,No,Idella Yamben,Business Development Consultant,wisconsinctc@uwex.edu ,(608) 263-3315,() -
736605,Wyoming,Wyoming Small Business Development Center Network (SBDC),406 S. 21st St.,82070,Room 17,Laramie,Wyoming,https://www.wyomingsbdc.org/,"The Wyoming Small Business Development Center (SBDC) Network is a partnership between the University of Wyoming, the Wyoming Business Council, and the U.S. Small Business Administration (SBA) offering business expertise and technical assistance to help you start, grow, reinvent, or exit your business. As a member of the Wyoming Business Resource Network, the Wyoming SBDC Network makes sure you get connected with the resources you need to succeed. In addition to Wyoming SBDC Network's no-cost and confidential business advising, training, and market research, the Wyoming SBIR/STTR Initiative (WSSI) can provide initial funding and technical assistance throughout the entire application process.",Yes,No,No,No,No,No,No,No,No,No,Kelly Haigler Cornish,Program Manager - Wyoming SBIR/STTR Initiative,haigler@uwyo.edu,(307) 766-2904,() -
821349,Arizona,SEED SPOT,515 E Grant St.,85004,,Phoenix,Arizona,https://seedspot.org/,"SEED SPOT is a nonprofit organization with a mission to educate, accelerate, and invest in entrepreneurs who are creating solutions to social problems. they support impact-driven entrepreneurs by surrounding them with the access to resources, mentors, business fundamentals, capital sources, and community partners needed to succeed. SEED SPOT offers several programs aimed at different stages of a startups growth. SEED SPOT's Impact Accelerator program is an eight-week program that provides hands-on support for building high-growth and high-impact business models, gaining traction with strong go-to market and customer acquisition strategies, modeling robust financials, establishing and nurturing investor relationships, and more.",No,No,No,Yes,No,No,No,No,No,No,,,connect@seedspot.org ,(602) 456-9944,() -
821353,California,Los Angeles Cleantech Incubator,525 S. Hewitt St.,90013,,Los Angeles,California,https://laincubator.org/,Los Angeles Cleantech Incubator (LACI) is a private non-profit organization helping to accelerate the commercialization of clean technologies in the LA region. LACI offers the following programs: Founders Business Accelerator - for small businesses in the city of LA focused on economic development and impact; Innovators Program - a light-touch network access program to plug early-stage energy entrepreneurs into California ecosystem; Incubation Program - a hands-on program to support cleantech startups in Southern California through market access and business services; and Market Access Program - a pilot and investor focused program to scale cleantech companies in Southern California through large scale pilots and partnerships.,No,No,No,Yes,No,No,No,No,No,No,,,pipeline@laci.org ,(213) 358-6500,() -
821371,District of Columbia,Halcyon Incubator,3400 Prospect St NW,20007,,Washington,District of Columbia,https://halcyonhouse.org/incubator,"The Halcyon Incubator helps social entrepreneurs transform ideas into scalable and sustainable ventures. During its 18-month fellowship, a diverse cohort of fellows receives free residency and workspace, mentorship and leadership coaching, robust support from business consultants, and a living stipend to develop their entrepreneurial vision into reality. ",No,No,No,Yes,No,No,No,No,No,No,,,halcyonincubator@halcyonhouse.org  ,(202) 796-4240,() -
821389,Iowa,Entrepreneurial Development Center,230 2nd St. SE,52401,Suite 212,Cedar Rapids,Iowa,http://www.edcinc.org,"Entrepreneurial Development Center (EDC) is a community-sponsored business accelerator. EDC's mission is to provide economic growth through the creation and expansion of high-impact Iowa businesses. From start-ups to well-established entities, EDC is focused on fostering innovation and creating vital and diversified entrepreneurial communities. EDC provides guided professional and business direction, networking and educational programs, and connection to qualified community and state resources.",No,No,No,Yes,No,No,No,No,No,No,,,,(319) 369-4955,() -
821403,Kentucky,XLerateHealth (XLH) Louisville/Southeast Xlerator Network,400 W. Market St.,40202,32nd Floor,Louisville,Kentucky,http://www.xleratehealth.com,"XLerateHealth (XLH) Louisville, funded by the Cabinet for Economic Development, is a business accelerator that assists early-stage healthcare companies. XLH works with healthcare technologies including medical devices, diagnostics, therapeutics, digital health, telemedicine, and healthcare services. XLH Louisville helps early stage healthcare companies build out their commercialization strategy. XLerateHealth supports three types of pre-venture-funded companies: bootcamp companies (very early stage healthcare companies),  affiliate companies (those that have already made substantial progress in raising capital, building a customer base, and/or generating revenue), and ""Corporate Life Outs"" (innovative new business opportunities that can benefit from being treated in the same way that a start-up business does).",No,No,No,Yes,No,No,No,Yes,No,No,,,info@xleratehealth.com ,(502) 550-8185,() -
821407,Louisiana,PowerMoves.NOLA,,,,New Orleans,Louisiana,https://powermovesnola2.squarespace.com/,"The Southeast XLerator Network proposes to create a networked and easily accessible regional technology transfer accelerator hub ('XLerator Hub' or 'Hub') to share best practices, disseminate education content, and offer products, services, facilities, and other resources connected through both physical and online platforms for innovators and trainees in the Southeast IDeA states. Led by XLerateHealth, LLC, an SBA award-winning healthcare-focused technology accelerator, the Hub will 1) bridge the divide between great ideas and the marketplace by leveraging and connecting existing resources and unique expertise assets across all participating entities in the Southeast IDeA state region, 2) fill the gaps that constitute barriers to efficient commercialization among partner institutions, and 3) deliver the necessary resources, education, and business networks to foster and sustain a culture of entrepreneurship across the region. This project will address significant disparities and lack of access to resources, talent, and capital in respective local commercialization ecosystems for biomedical technologies that are pervasive across the Southeast IDeA state region, making the rates of technology transfer and commercialization of academic research discoveries in this region suboptimal. The Hub objectives/ core functions are: 1. To improve knowledge and understanding by innovators about how technologies are brought to market. 2. To improve knowledge and understanding by accelerators and technology transfer offices about the unique commercialization pathways of various biomedical technologies 3. To facilitate access to technology/product development and commercialization resources required for early-stage technology advancement and later-stage product development 4. To help close the gap(s) in funding (a) between basic research discoveries and scientific proof of feasibility, and (b) between exhaustion of grant funding and private capital required to generate products and revenues. 5. To commercialize innovation in pharmaceuticals, medical devices, healthcare IT and electronics, and other biomedical technologies through entrepreneurship, licensing, and partnerships with established companies, and additionally commercialize the Hub's platform, programs, and materials through access by other regions. The impact of the Hub will be increased market-ready technologies and patents, more successful startups, and increased biomedical technology acceleration.",No,No,No,No,No,Yes,No,No,No,No,,,info@powermovesnola.org   ,(504) 408-1038,() -
821423,Maine,Maine Center for Entrepreneurs,63 Federal Street,4101,,Portland,Maine,http://www.mced.biz,"The Maine Center for Entrepreneurs (MCE) provides training, connections, coaching, and mentorship that entrepreneurs need to commercialize and grow their ideas, products, and services. MCE offers the following programs: Top Gun Program - a selective entrepreneurship acceleration program aimed at Maine entrepreneurs looking to grow their startup or early stage businesses; Cultivator Food, Beverage & Agriculture Accelerator - a selective program aimed at established food, beverage, and agriculture companies looking to scale-up their business to the next level; and MarketShare Accel - targeted at helping Maine's food and beverage companies to tap new markets to sell more products. MEC also offers a Workshop Series that provide detailed, actionable training related to marketing, finance, and other business topics. As an SBA Growth Accelerator, MCE is working to further establish its Emerging Technology Group aimed at commercializing innovative technologies, and identifying companies eligible for Federal R&D funding through the SBIR/STTR programs, and coach them through preparing to submit an application. All of MCE's programs are supported by an established network of experienced professionals across multiple business areas.",No,No,No,Yes,No,No,No,No,No,No,,,,() -,() -
821487,Texas,Westside Development Corporation,630 S.W. 41st St.,78237,,San Antonio,Texas,https://westsidedevcorp.com/westside-development/westside-business/,"The mission of the Westside Development Corporation (WDC), an economic development nonprofit, is to foster economic development, promote the development and redevelopment of real estate within its target area, create viable urban communities, and preserve the character, culture and history of the Westside. The WDC's Business Growth Grant Program is for businesses and non-profit social enterprises that need financial assistance to grow their business. A qualified business or social enterprise may be eligible for a matching grant of up to $5,000. The WDC's Live-Work Unit Accelerator Program provides low-to- moderate-income (60% or below area median) westside business entrepreneurs who live where they work with an opportunity to start-up and/or grow their business with low overhead while receiving technical support. Each program participant is provided with start-up education (if needed), technical assistance, business education, including financial and human resources, mentorship, access to capital, financial literacy and credit counseling, and peer-to-peer learning opportunities. The WDC is governed by an 11 member board comprised of representatives from a cross-section of local stakeholders including small and large businesses, neighborhood residents, educational institutions, non-profit, health, and housing organizations.",No,No,No,No,No,Yes,No,No,No,No,,,info@westsidedevcorp.com  ,(210) 501-0192,() -
821493,Virginia,Eastern Foundry,2011 Crystal Dr.,22202,Suite 400,Arlington,Virginia,http://www.eastern-foundry.com,"Eastern Foundry is home to over 200 small federal contractors that together have every major set-aside, past performance at all major agencies, and seats on dozens of IDIQs. Eastern Foundry provides the workspace, services, community, and training to help their members succeed in government procurement. Eastern Foundry's education series include information on How to Win SBIR Grants, Dual Use Technology SBIR Tips and Tricks, Agency Capital, and more. ",No,No,No,Yes,No,No,No,No,No,No,,,info@www.eastern-foundry.com ,(703) 682-6800,() -
821497,Virginia,Peninsula Technology Incubator t/a REaKTOR Technology Innovation Center,1100 Exploration Way,23666,Suite 302,Hampton,Virginia,http://reaktoraccelerator.org,"Hosted at the National Institute of Aerospace, the Peninsula Technology Incubator (PTI)'s mission is to strengthen and grow the startup ecosystem of Hampton Roads by providing office space, resources, education, and mentorship to entrepreneurs. The REaKTOR Business Technology Innovation Center's mission is to implement an internationally recognized business pre-acceleration and acceleration program to commercialize scientific and technical research. The REaKTOR Technology Innovation Center provides nourishing ideas for small businesses through introductions, mentorship, consulting services, and access to resources. ",No,No,No,Yes,No,No,No,No,No,No,,,info@reaktoraccelerator.org ,() -,() -
821521,Connecticut,Northeast Electrochemical Energy Storage Cluster (NEESC),222 Pitkin St. ,6108,Suite 101,East Hartford,Connecticut,http://neesc.org/,"The Northeast Electrochemical Energy Storage Cluster (NEESC), which is administered by the Connecticut Center for Advanced Technologies (CCAT) non-profit organization and regional partners, supports the electrochemical energy storage cluster in the Northeast. The cluster is focused on businesses that provide the innovative development, production, promotion and deployment of hydrogen fuels and fuel cells to meet the pressing demand for energy storage solutions. Business services provided include training, counseling, mentoring, technology transfer/commercialization, export readiness, manufacturing assistance, market development, and incubator assistance. ",No,No,No,No,No,Yes,No,No,No,No,,,,(860) 291-8832,() -
821541,Arkansas,Ozarks RegionalÂ Innovation Cluster,1 E. Center St.,72701,Suite 270,Fayetteville,Arkansas,https://www.nwbc.gov/2001/01/01/the-ozarks-regional-innovation-cluster-2/,"Region: Northwest Arkansas, Northeast Oklahoma, and Southwest Missouri | Industry/Sector Focus: Retail, Supply Chain/Logistics & Food Processing  | Industry/Sector Focus: Retail, Supply Chain/Logistics & Food Processing                                                                                                                                                                       Based in Northwest Arkansas, they have a solid team comprised of investors, entrepreneurs and project managers with a shared mission to catalyze and foster emerging startup/venture ecosystems. They like to keep their eyes and ears open to find ways to help others, and have an open-door policy in the interest of inclusive entrepreneurial communities. Their strength include: Project & Contract Management, IP and Tech Transfer, Startup Mentoring, Marketing & Public Relations, Message Development, Content Development, Program Development & Management, Event Planning, Community Bridging. The Ozarks Regional Innovation Cluster is hosted by Startup Junkie Consulting.",No,No,Yes,No,No,No,No,No,No,No,,,,() -,() -
821545,Mississippi,Mississippi Enterprise for Technology (MSET),Bldg. 1103,39529,Suite 143,Stennis Space Center,Mississippi,https://www.mset.org/,"The Mississippi Enterprise for Technology (MSET), a joint effort of the State of Mississippi, NASA, and Mississippi's institutions of higher learning, is a private, non-profit organization that facilitates regional economic development by leveraging the resources of Stennis Space Center, the State, and the region to foster business opportunities among public and private entities. MSET promotes growth in existing industry, stimulates new business, and attracts high-tech companies to the region by providing companies crucial business and technology-related services, opportunities for partnerships and collaboration, entrepreneur resources and access to state and federal technology portfolios. MSET has a number of programs designed to inform candidate companies about procurement opportunities at Stennis and to assist companies in the goals for linking with Stennis agencies and companies, including: Monthly Lunch & Learn events; Quarterly Stennis Business Consortium (SBC) meetings; Technology Transfer Forums; Stennis-based Business Incubator; and Resident and Affiliate Programs. MSET, partnered with the University of Southern Mississippi (USM), coordinates the Marine Industries Science & Technology (MIST) cluster, which provides direct support and linking services to small businesses.",No,No,No,No,No,Yes,No,No,No,No,Robbie Ingram,CEO,Robbie.Ingram@usm.edu,(228) 688-3144,() -
821719,North Carolina,First Flight Venture Center,2 Davis Dr.,27709,PO Box 13169,Research Triangle Park,North Carolina,https://www.ffvcnc.org/,"First Flight Venture Center (FFVC) is a science and technology incubator located in the heart of Research Triangle Park, NC. With a mission to support the development and growth of high-science, high-impact early stage companies, First Flight provides the tailored resources, guidance, connections and technical support designed to meet the needs of different types of early-stage companies. First Flight can assist first-time entrepreneurs as they transition from lab to market, while also providing serial entrepreneurs with the scaffolding needed for their next launch. Programs include: DRIVe - access to grants for companies developing health security solutions; SBIR/STTR Grant Seminars - training, financial support, and business expertise to support the submission of competitive SBIR/STTR grant applications and increase the WIN rate of grants from underserved entrepreneurs and communities; LiftOff' - to help early-stage science-based startups with identifying and securing non-dilutive funding; and Hangar6' - provides entrepreneurs, start-ups and businesses with access to design assistance and prototyping equipment.",Yes,No,No,Yes,No,No,No,No,No,No,,,info@firstflightventure.org,(919) 990-8558,() -
821737,New York,Minority Venture Partners (MVP) Accelerator,26 W 61st St.,10023,Suite 407,New York,New York,http://mvpaccelerator.com,"Minority Venture Partners, Inc. (MVP) is a non-profit startup program for commercializing digital, social, and mobile innovations developed by minority and women entrepreneurs. Its mission is to increase and expand Minority and Women Business Enterprise participation in emerging technology sectors throughout New York City and the Tri-state Area. MVP achieves this goal by facilitating an accelerator program that provides minority tech founders with knowledge, mentors, networks, and access to startup capital to successfully bring their innovative products and services to market. The MVP Accelerator program has built an ecosystem of valued partners as a way for them to find interesting startups it can to partner with, learn from, and use to stay on top of the latest tech. MVP partner companies are involved both in the selection process as well as in the program itself, providing additional mentoring, resources, and potential business opportunities for the startups participating in each new cohort of firms. MVP is powered by Vanguarde Consulting Group, a Venture-in-Residence firm at the New York Institute of Technology's Center for Entrepreneurial Studies that provides entrepreneurial training and content for small business innovation throughout New York City, New Jersey, Boston, and Delaware.",No,No,No,No,No,Yes,No,No,No,No,,,info@vanguardenyc.com ,() -,() -
821815,Connecticut,"Connecticut Innovations, Inc.",865 Brook St.,6067,,Rocky Hill,Connecticut,https://ctinnovations.com/,"Connecticut Innovations (CTI) is a venture capital firm that provides strategic capital and operational insight to companies in high-tech industries such as energy, biotechnology, information technology, and photonics. By offering flexible financing, strategic guidance, and introductions to valuable partners, CTI enables promising businesses to thrive. CTI's Small Business Innovation Research (SBIR) Acceleration and Commercialization program is designed to increase the participation of Connecticut-based firms in federal SBIR and STTR grant programs. Through CTNext, a wholly-owned subsidiary of CTI, free technical consultations are offered to small businesses to help them improve their chances of winning a federal SBIR/STTR grant. Support includes conference fee reimbursements, proposal accounting support, application reviews, and strategy sessions. SBIR Accelerate CT is the CTNext initiative designed to enhance the competitiveness of SBIR/STTR proposals among Connecticut's small technology companies.",Yes,No,No,No,No,No,No,No,No,No,,,info@ctinnovations.com ,(860) 258-7858,() -
821827,Mississippi,Innovate Mississippi,121 N. State St.,39201,Suite 500,Jackson,Mississippi,https://www.innovate.ms/,"Innovate Mississippi focuses on innovation-based companies with innovative products, processes, materials or business models. For entrepreneurs, the MS-FAST Program, led by Innovate Mississippi, aims to increase the number of SBIR and STTR proposals from small businesses in Mississippi  leading to an increase in the number of SBIR/STTR awards. The University of Southern Mississippi (USM) Business & Innovation Assistant Center (USM/BIAC) provides technical support to the MS-FAST Program. To MS-FAST program provides: outreach to increase the pipeline of possible SBIR/STTR applicants; technical assisstance and services that improve proposal development and technology commercialization of SBIR/STTR innovations; mentoring; and financial support, which could include financing to help offset the cost of developing a Phase 1 SBIR/STTR proposal for submission to a federal agency's solicitation. Innovate Mississippi also manages the Mississippi Seed Fund, which provides high-tech, startup companies with access to pre-seed financing, early-stage risk capital and product development capital to stimulate and accelerate the development of high-performance, technology-based business ventures in Mississippi. The Seed Fund consists of the Proof of Concept, Research and Development, and New Technology Business programs. Innovate Mississippi also offers an annual Accelerate conference, which includes the Spotlight, an opportunity for Mississippi startup companies to offer their pitches, interspersed with investor panels that discuss raising money, and attracting investors in the current entrepreneurial climate.",Yes,No,No,Yes,No,No,No,No,No,No,Tony Jeff,President and CEO,info@innovate.ms ,(601) 960-3610,() -
821837,New York,New York Small Business Development Center,10 N. Pearl St.,12246,,Albany,New York,http://www.nyssbdc.org/,The New York State Small Business Development Center (New York SBDC) - the premier business assistance organization in New York State - provides expert management and technical assistance to start-up and existing businesses across the state. The New York SBDC can help small businesses learn about opportunities in the SBIR/ STTR programs and help them prepare proposals for the programs.&nbsp;,No,No,No,No,Yes,No,No,No,No,No,Brian Goldstein,State Director,brian.goldstein@nysbdc.org ,(518) 944-2840,() -
821839,Ohio,Ohio Aerospace Institute, 22800 Cedar Point Rd.,44142,,Brook Park,Ohio,http://oai.org/industry/,"The Ohio Aerospace Institute (OAI) is a joint initiative of the NASA Glenn Research Center, the Air Force Research Laboratory at Wright-Patterson Air Force Base, the State of Ohio, ten Ohio public and private universities granting doctoral degrees in aerospace-related engineering disciplines, and numerous companies engaged in aerospace activities. A non-profit organization, OAI helps Ohio's small businesses obtain grant funding for innovation, research, and technology development, especially SBIR and STTR grants. OAI particularly encourages participation from minority and women owned business, and other underserved businesses across Ohio. OAI works with companies across all technology sectors, including aerospace, energy, transportation, medical devices, bioscience, agriculture, IT, and others. Most of Ohio Aerospace Institute's small business services are provided without cost to the companies.
The Ohio Aerospace Institute (OAI) was founded in 1989. Our mission is to enhance our partners' aerospace competitiveness through research and technology development, workforce preparedness, and engagement with global networks for innovation and advocacy.
",Yes,No,No,No,No,No,No,No,No,No,,,info@oai.org  ,(440) 962-3000,() -
821841,Oregon,VertueLab,412 SW 12th Ave,92705,,Portland,Oregon,https://vertuelab.org/sbir,"VertueLab partners with funders and innovators in clean technologies to make a global environmental impact. Through a series of focused programs and funding opportunities, VertueLab advances promising technologies to market while helping innovators find the resources they need to move their vision forward. 
VertueLab provides SBIR/STTR assistance to qualified startups seeking to apply for an SBIR/STTR Grant helping them navigate the complexity and create successful applications.  The program is designed to assist companies by providing one or more of the following services:
' Trainings and workshops
' Finding the right funding opportunities for your company
' Navigating the application process
' Application reviews/feedback, and even help with the writing
' Help with all aspects of completing a successful application
The SBIR/STTR program is available to all proprietary technologies- not just cleantech, in Oregon.",Yes,No,No,Yes,No,No,No,No,No,No,Vanessa Margolis,Portfolio Manager,info@ventuelab.org ,(971) 770-2378,() -
821845,Puerto Rico,Puerto Rico Trade And Export Company (PR TRADE),Chardon Ave. #159,918,,Hato Rey,Puerto Rico,http://www.comercioyexportacion.com/,"The Puerto Rico Trade and Export Company (CCE) is a public corporation attached to the Department of Economic Development and Commerce of the Commonwealth of Puerto Rico. It was created to develop and provide information, advice, promotion, and direct services to companies or individuals dedicated to different local and international trade activities. Technical assistance areas: Financial capacity and management; Business planning and strategy; Legal, licensing and permitting; Contracting opportunities; and International trade.",No,No,No,No,No,Yes,No,No,No,No,,,,(787) 294-0101,() -
822025,Pennsylvania,Ben Franklin Technology Partners Corporation,1010 N. 7th Street,17102,Suite 307,Harrisburg,Pennsylvania,https://benfranklin.org/,"Ben Franklin Technology Partners (BFTP) provides both early-stage, technology-based firms, and established manufacturers with funding, business and technical expertise, and access to a network of innovative, expert resources.

The Ben Franklin Technology Partners is an initiative of the Pennsylvania Department of Community and Economic Development, and is funded by the Ben Franklin Technology Development Authority.

&nbsp;
",Yes,No,No,No,No,Yes,No,No,No,No,,,,(717) 948-4317,
822117,Arkansas,Arkansas Economic Development Commission Division of Science and Technology,1 Commerce Way,72202,Suite 601,Little Rock,Arkansas,https://www.arkansasedc.com/science-technology/division,"For commercialization, the Division of Science & Technology fosters the growth of clients through small grants, investment funds and tax credits which help market technology-based products and services.Technology Transfer Assistance Grant: This grant provides financial support for the transfer and deployment of innovative technology. SBIR Matching Grant: Provides matching grants to small businesses that  have been awarded a federal Small Business Innovation Research (SBIR) award of up to fifty percent (50%) of the amount of federal Phase I and Phase II SBIR grant. Business & Technology Accelerator Grant: Provides grants of up to two hundred fifty thousand dollars ($250,000) to sponsor business and technology programs to mentor start-up companies. Technology Development Program: This investment fund provides royalty financing for qualified science and technology projects with a potential for economic and employment growth in the state of Arkansas. Seed Capital Investment Program: This investment fund can provide working capital to help support the initial capitalization or expansion of technology-based companies located in Arkansas. Research & Development Tax Credits & Incentives: Provides incentives for university-based research, in-house research of several kinds, and research and development in start-up, technology-based enterprises. ",No,No,No,No,No,Yes,No,No,No,No,,,info@arkansasedc.com ,(501) 682-8695,() -
831319,Oklahoma,Innovation to Enterprise (i2E),840 Research Pkwy.,73104,Suite 250,Oklahoma City,Oklahoma,http://www.i2e.org,"i2E, Inc., a private not-for-profit corporation focused on growing innovative small businesses in Oklahoma, works directly with entrepreneurs, researchers and companies to help them commercialize their technologies, launch and grow new businesses and access needed capital.",No,No,No,No,No,Yes,No,No,No,No,,,,(405) 235-2305,() -
867905,Kentucky,Advantage Kentucky Alliance,2314 Nashville Rd.,42101,Suite 310,Bowling Green,Kentucky,http://www.advantageky.org/,"AKA is a statewide, not-for-profit partnership that provides assistance and training to help manufacturers of all sizes grow, improve their manufacturing and business strategies and processes, adopt advanced technologies, increase productivity, reduct costs, and improve competitiveness.&nbsp;",No,No,No,No,No,No,Yes,No,No,No,,,,(270) 745-3370,() -
867911,Alabama,Alabama Technology Network,135 S. Union St.,36104,Suite 441,Montgomery,Alabama,http://www.atn.org/,"The Alabama Technology Network is a part of the Alabama Community College System and the Manufacturing Extension Partnership. ATN's team of experts helps solve the needs of industry and business through innovative, sustainable, cost-effective solutions. ATN conducts detailed needs assessments, outlines potential solutions based on the assessment results, and provides technical assistance and customized training to help companies solve their problems.",No,No,No,No,No,No,Yes,No,No,No,,,atninfo@atn.org ,(334) 293-4671,() -
867915,Arizona,Arizona Commerce Authority,100 N. 7th Ave.,85007,Suite 400,Phoenix,Arizona,https://www.azcommerce.com/,"The Arizona Commerce Authority (ACA) is the leading economic development organization in Arizona with a streamlined mission to grow and strengthen Arizona's economy. The ACA uses a three-pronged approach to advance the overall economy: recruit, grow, create ' recruit out-of-state companies to expand their operations in Arizona; work with existing companies to grow their business in Arizona and beyond; and partner with entrepreneurs and companies large and small to create new jobs and businesses in targeted industries. ACA has several programs for small businesses and for innovation and entrepreneurship.https://www.azcommerce.com/&nbsp;Arizona Innovation Challenge (AIC)The Arizona Innovation Challenge (AIC) is a business plan competition offered annually designed to advance innovation and technology commercialization opportunities in Arizona by helping early-stage ventures scale. Up to 10 companies are awarded up to $150,000 each, representing non-dilutive capital.https://www.azcommerce.com/programs/arizona-innovation-challenge/&nbsp;SBIR/STTR Resource CenterThe Arizona Commerce Authority helps educate Arizona Small Businesses and connect them with resources to better compete for funding through the SBIR/STTR program.https://www.azcommerce.com/programs/sbirsttr-resource-center/&nbsp;Arizona STEP GrantAssists Arizona small businesses to enter export markets for the first time or as they expand into new markets.https://www.azcommerce.com/programs/arizona-step-grant/&nbsp;",No,No,No,No,No,Yes,No,No,No,No,,,,(602) 845-1200,() -
867919,Arkansas,Arkansas Economic Development Commission Manufacturing Solutions,900 West Capitol,72701,Suite 400,Little Rock,Arkansas,http://www.mfgsolutions.org/,"Part of the Arkansas Economic Development Commission, Arkansas Manufacturing Solutions is the Manufacturing Extension Partnership Program (MEP) Center for the state of Arkansas. AEDC - MS provides provides hands-on business and technical assistance to Arkansas companies in the areas of Growth & Innovation (including Exports, Additive Manufacturing, Cybersecurity), Operational Excellence (Lean, Toyota Kata, Training Withing Industry), Leadership Development, Six Sigma (Lean Practices), and Sustainability (Environmental Health and Safety, Energy Assessments, OSHA Required Trainings), and Information Technology. Manufacturing Solutions works closely with many public and private organizations to bring world-class resources to Arkansas manufacturers. AEDC-MS has formal partnership agreements with four state universities, the World Trade Center, and other third party providers. In addition, the Center works with community colleges and local economic development organizations to ensure local resources are utilized in delivering assistance to manufactures.",No,No,No,No,No,No,Yes,No,No,No,,,info@arkansasedc.com ,(501) 683-4411,() -
867923,California,California Manufacturing Technology Consulting (CMTC),690 Knox St.,90502,Suite 200,Torrance,California,https://www.cmtc.com/,"California Manufacturing Technology Consulting (CMTC), a private non-profit corporation, provides manufacturing consulting services designed to help California's manufacturers succeed now and in the future. The CMTC team specializes in many areas-including lean consulting, food manufacturing consulting, quality management system implementations, Additive Manufacturing consulting, exporting, and more. California Manufacturers Advantage' (CMA) is a CMTC program designed for small and medium sized manufacturers providing a fresh review of the client's business, bringing technical expertise and leadership to identify and solve problems.
 To facilitate access to services and expand outreach, CMTC formed and leads California's Manufacturing Network. The Network provides a broad range of technical assistance services and resources in urban and rural regions throughout California. It is a collaboration of more than 25 manufacturing-focused partners who assist CMTC in delivering a statewide Manufacturing Extension Partnership program.
",No,No,No,No,No,No,Yes,No,No,No,,,,(310) 263-3060,() -
867931,Connecticut,CONNSTEP,350 Church St.,6103,,Hartford,Connecticut,https://www.connstep.org/,"As Connecticut's NIST/Manufacturing Extension Partnership (MEP) affiliate, CONNSTEP, a Connecticut  business consulting firm, helps manufacturers and other businesses by providing strategic leadership and operational methodologies that make companies more competitive in today's challenging economic climate. CONNSTEP's consultants implement advanced business and technical solutions, as well as workforce strategies that help organizations to grow, improve profitability, and create sustainable competitive advantages in the marketplace.",No,No,No,No,No,No,Yes,No,No,No,,,,(860) 529-5120 x3204,() -
867949,Minnesota,Enterprise Minnesota (Manufacturing Extension Program),2100 Summer St. NE,55413, Suite 150,Minneapolis,Minnesota,http://www.enterpriseminnesota.org/,"Enterprise Minnesota is a business consulting organization that specializes in serving the manufacturing industry in Minnesota. It provides consulting services to small and medium size manufacturing companies that helps them save time and energy, improve productivity, increase sales, and improve profits, as well as create and retain jobs. Enterprise Minnesota approaches manufacturing consulting according to its 'Five Solutions for Growing Profitably' service areas: Strategy for Growth; Talent & Leadership; Continuous Improvement; ISO Mangement Systems; and Manufacturing Peer Councils.",No,No,No,No,No,No,Yes,No,No,No,,,contactus@enterpriseminnesota.org ,(612) 373-2900,() -
867953,Florida,FloridaMakes,800 N. Magnolia Avenue,32803,Suite 1850,Orlando,Florida,http://www.floridamakes.com/,"FloridaMakes is a service created by manufacturers, for manufacturers, to increase their competitive ability and profitability. The goal is to strengthen Florida's manufacturing sector, which leads to higher paying job opportunities, and economic impact. Services include enterprise assessments, business growth and innovation, technology acceleration, international market development, workforce training, supply chain optimization, process improvement, and sustainability. Under its business growth and innovation services, FloridaMakes works with companies that have received SBIR awards. Services include assistance with product design and testing, R&D, manufacturing processes, quality control, supplier identification, certification and commercialization.
",No,No,No,No,No,No,Yes,No,No,No,,,info@floridamakes.com ,(407) 450-7206,() -
